,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
21,Victoria,HK,80.26,overcast clouds,22.2855,114.1577,Mini Hotel Central
25,Atuona,PF,77.72,clear sky,-9.8,-139.0333,Villa Enata
33,Aloleng,PH,82.99,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
35,Airai,TL,77.27,overcast clouds,-8.9266,125.4092,Juvinal Martin
36,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
38,Sao Filipe,CV,79.16,broken clouds,14.8961,-24.4956,Hotel Xaguate
41,Pangkalanbuun,ID,82.56,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
42,Butaritari,KI,82.67,few clouds,3.0707,172.7902,Isles Sunset Lodge
43,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Amuntai,ID,84.74,scattered clouds,-2.4177,115.2494,Hotel Balqis
45,Autazes,BR,75.45,overcast clouds,-3.5797,-59.1306,Apart hotel Tupinambá
47,Bengkulu,ID,75.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
48,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Aswan,EG,77.16,broken clouds,24.0934,32.907,Nuba Nile
55,Chihuahua,MX,77.83,clear sky,28.5,-106.0,
56,Coffs Harbour,AU,79.12,scattered clouds,-30.3,153.1333,Aquajet Motel
64,Yanam,IN,77.4,overcast clouds,16.7333,82.2167,The Regency Hotel
66,Biltine,TD,80.29,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
68,Vanimo,PG,84.43,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
70,Cockburn Town,TC,82.11,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
72,Cagliliog,PH,81.57,overcast clouds,13.9016,123.2913,Cagliliog Labog Beach
75,Karratha,AU,80.15,clear sky,-20.7377,116.8463,ibis Styles Karratha
79,Phan Thiet,VN,75.88,heavy intensity rain,10.9333,108.1,Hotel Saigon-PT
80,Luganville,VU,83.98,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
82,Labuhan,ID,84.51,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
85,Ternate,ID,84.67,few clouds,0.8,127.4,Grand Dafam Bela Ternate
89,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
96,San Patricio,US,81.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
102,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
104,Gigmoto,PH,81.72,overcast clouds,13.7796,124.39,Cj's Travellers Inn
