city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bandarbeyla,SO,2021-10-18 23:54:38,9.4942,50.8122,76.75,88,57,9.24
1,Kapoeta,SS,2021-10-18 23:54:38,4.7717,33.5903,79.79,49,92,0.45
2,Kensington,AU,2021-10-18 23:54:38,-33.9167,151.2167,78.96,59,74,18.39
3,Ponta Delgada,PT,2021-10-18 23:54:39,37.7333,-25.6667,70.52,73,20,14.97
4,Souillac,MU,2021-10-18 23:54:39,-20.5167,57.5167,73.78,78,40,11.5
5,Kruisfontein,ZA,2021-10-18 23:54:40,-34.0033,24.7314,45.88,71,0,4.79
6,Victoria,HK,2021-10-18 23:54:38,22.2855,114.1577,76.32,75,84,1.99
7,Roebourne,AU,2021-10-18 23:54:40,-20.7833,117.1333,79.25,65,46,14.29
8,Nalgonda,IN,2021-10-18 23:54:41,17.05,79.2667,75.09,81,86,4.94
9,Port Alfred,ZA,2021-10-18 23:54:41,-33.5906,26.891,55.71,72,9,8.57
10,Olafsvik,IS,2021-10-18 23:54:42,64.8945,-23.7142,40.53,92,100,43.66
11,Puerto Ayora,EC,2021-10-18 23:54:42,-0.7393,-90.3518,69.89,84,80,8.61
12,Obo,CF,2021-10-18 23:54:42,5.3998,26.4869,68.76,98,100,4.99
13,Rikitea,PF,2021-10-18 23:54:43,-23.1203,-134.9692,75.33,73,15,19.35
14,Vestmannaeyjar,IS,2021-10-18 23:54:43,63.4427,-20.2734,47.82,76,100,15.77
15,Kodiak,US,2021-10-18 23:54:44,57.79,-152.4072,42.39,91,100,27.78
16,Sistranda,NO,2021-10-18 23:54:44,63.7256,8.834,40.96,64,100,24.63
17,Bend,US,2021-10-18 23:50:54,44.0582,-121.3153,60.08,45,1,3.0
18,Port Elizabeth,ZA,2021-10-18 23:54:45,-33.918,25.5701,52.09,87,0,6.91
19,Vestmanna,FO,2021-10-18 23:54:46,62.1564,-7.1664,49.12,100,90,10.36
20,Borovichi,RU,2021-10-18 23:54:46,58.3878,33.9155,36.1,83,98,9.31
21,Cape Town,ZA,2021-10-18 23:50:57,-33.9258,18.4232,57.61,59,0,1.99
22,Barrow,US,2021-10-18 23:54:47,71.2906,-156.7887,13.17,86,88,8.81
23,Taseyevo,RU,2021-10-18 23:54:47,57.2169,94.8978,32.97,93,97,4.03
24,Ribeira Grande,PT,2021-10-18 23:54:47,38.5167,-28.7,69.08,71,15,19.22
25,Agadez,NE,2021-10-18 23:54:48,19.75,10.25,83.07,25,83,5.57
26,Hithadhoo,MV,2021-10-18 23:54:48,-0.6,73.0833,81.3,71,92,6.08
27,Nanortalik,GL,2021-10-18 23:54:49,60.1432,-45.2371,31.3,60,90,11.97
28,Puquio,PE,2021-10-18 23:54:49,-14.7,-74.1333,52.81,62,45,5.01
29,Sitka,US,2021-10-18 23:51:18,57.0531,-135.33,51.69,40,90,16.11
30,Talcahuano,CL,2021-10-18 23:54:50,-36.7167,-73.1167,60.48,72,0,13.8
31,Miedzyrzec Podlaski,PL,2021-10-18 23:54:50,51.9864,22.7825,44.94,86,100,2.35
32,New Norfolk,AU,2021-10-18 23:54:51,-42.7826,147.0587,51.66,52,89,1.99
33,Sinop,TR,2021-10-18 23:54:51,41.7711,34.8709,50.88,96,100,3.76
34,Yuzhno-Kurilsk,RU,2021-10-18 23:54:52,44.0306,145.8556,51.94,58,70,14.99
35,Korla,CN,2021-10-18 23:54:52,41.7597,86.1469,51.55,30,90,6.22
36,Tasiilaq,GL,2021-10-18 23:54:53,65.6145,-37.6368,21.29,48,93,3.8
37,Mar Del Plata,AR,2021-10-18 23:54:53,-38.0023,-57.5575,57.09,56,0,5.99
38,Mangan,IN,2021-10-18 23:54:53,27.5167,88.5333,71.4,93,100,4.41
39,Sao Miguel Do Araguaia,BR,2021-10-18 23:54:54,-13.275,-50.1628,72.61,91,100,6.35
40,Chateau-Thierry,FR,2021-10-18 23:54:54,49.05,3.4,59.14,94,100,11.5
41,Charters Towers,AU,2021-10-18 23:54:55,-20.1,146.2667,89.46,29,0,5.5
42,Chuy,UY,2021-10-18 23:54:55,-33.6971,-53.4616,54.09,88,18,6.64
43,Luderitz,NA,2021-10-18 23:54:56,-26.6481,15.1594,70.56,27,71,12.33
44,Albany,US,2021-10-18 23:52:32,42.6001,-73.9662,46.17,78,39,1.01
45,Masterton,NZ,2021-10-18 23:54:56,-40.9597,175.6575,59.88,46,10,13.56
46,Mehamn,NO,2021-10-18 23:54:57,71.0357,27.8492,33.66,62,100,21.45
47,Malayal,PH,2021-10-18 23:54:57,7.208,121.942,80.4,77,91,0.49
48,Sioux Lookout,CA,2021-10-18 23:54:58,50.1001,-91.917,64.78,51,40,9.22
49,Mataura,NZ,2021-10-18 23:54:58,-46.1927,168.8643,48.49,63,100,7.81
50,Shintomi,JP,2021-10-18 23:54:58,32.0785,131.4723,61.92,62,60,3.91
51,East London,ZA,2021-10-18 23:54:59,-33.0153,27.9116,57.72,70,58,6.11
52,Abu Samrah,SY,2021-10-18 23:54:59,35.3029,37.1841,61.86,80,16,7.54
53,Cidreira,BR,2021-10-18 23:55:00,-30.1811,-50.2056,60.48,76,34,7.92
54,Guerrero Negro,MX,2021-10-18 23:55:00,27.9769,-114.0611,67.28,64,1,18.68
55,Bhag,PK,2021-10-18 23:55:01,29.0415,67.8239,75.96,8,0,6.73
56,Kenai,US,2021-10-18 23:55:02,60.5544,-151.2583,46.09,57,1,8.05
57,Jamestown,US,2021-10-18 23:55:02,42.097,-79.2353,52.72,69,1,3.0
58,Qaanaaq,GL,2021-10-18 23:55:03,77.484,-69.3632,27.81,64,100,12.77
59,Hermanus,ZA,2021-10-18 23:55:04,-34.4187,19.2345,55.9,75,0,10.54
60,Kavieng,PG,2021-10-18 23:55:05,-2.5744,150.7967,86.07,66,58,14.99
61,Punta Arenas,CL,2021-10-18 23:55:05,-53.15,-70.9167,48.31,61,20,20.71
62,Sur,OM,2021-10-18 23:55:06,22.5667,59.5289,81.57,42,7,6.82
63,Coihaique,CL,2021-10-18 23:53:02,-45.5752,-72.0662,53.55,71,75,5.75
64,Byron Bay,AU,2021-10-18 23:52:59,-28.65,153.6167,76.05,65,99,6.42
65,Necochea,AR,2021-10-18 23:55:07,-38.5473,-58.7368,55.04,80,5,11.12
66,Yellowknife,CA,2021-10-18 23:55:07,62.456,-114.3525,31.41,90,75,5.75
67,Butaritari,KI,2021-10-18 23:55:08,3.0707,172.7902,82.58,65,36,7.02
68,Atuona,PF,2021-10-18 23:55:08,-9.8,-139.0333,77.5,77,15,19.69
69,Kalmunai,LK,2021-10-18 23:55:09,7.4167,81.8167,79.0,82,94,3.06
70,Ancud,CL,2021-10-18 23:55:09,-41.8697,-73.8203,60.33,95,11,3.6
71,Sao Bernardo,BR,2021-10-18 23:55:09,-3.3614,-42.4178,77.68,78,71,6.15
72,Arraial Do Cabo,BR,2021-10-18 23:55:10,-22.9661,-42.0278,68.99,91,100,14.74
73,Hilo,US,2021-10-18 23:55:10,19.7297,-155.09,80.26,85,89,1.01
74,Diamantino,BR,2021-10-18 23:55:10,-14.4086,-56.4461,71.6,98,98,2.93
75,Vaini,TO,2021-10-18 23:55:11,-21.2,-175.2,78.96,78,20,11.5
76,Busselton,AU,2021-10-18 23:55:11,-33.65,115.3333,60.04,95,100,20.38
77,Srandakan,ID,2021-10-18 23:55:12,-7.9386,110.2506,61.74,79,70,3.71
78,Clyde River,CA,2021-10-18 23:55:12,70.4692,-68.5914,32.23,93,90,23.02
79,Nome,US,2021-10-18 23:55:12,64.5011,-165.4064,28.47,65,90,16.11
80,Kencong,ID,2021-10-18 23:55:13,-8.2833,113.3667,81.48,72,99,0.65
81,Belawan,ID,2021-10-18 23:55:13,3.7755,98.6832,79.09,87,100,5.12
