city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Bluff,NZ,-46.6,168.3333,57.11,77,62,0.65,broken clouds,2021-10-27 01:12:45
1,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,14.97,clear sky,2021-10-27 01:11:17
2,Yellowknife,CA,62.456,-114.3525,40.41,100,90,4.61,light rain,2021-10-27 01:12:46
3,Tarakan,ID,3.3,117.6333,80.1,89,75,3.44,broken clouds,2021-10-27 01:12:47
4,Dunedin,NZ,-45.8742,170.5036,57.56,81,62,4.72,broken clouds,2021-10-27 01:12:47
5,Santo Domingo,DO,18.5001,-69.9886,74.88,83,5,2.35,clear sky,2021-10-27 01:11:04
6,Ostrow Wielkopolski,PL,51.655,17.8069,49.6,90,100,8.21,overcast clouds,2021-10-27 01:12:48
7,Port Alfred,ZA,-33.5906,26.891,66.92,85,100,28.52,overcast clouds,2021-10-27 01:12:48
8,Krasnyy Yar,RU,46.5331,48.3456,39.13,72,6,1.74,clear sky,2021-10-27 01:12:48
9,Rikitea,PF,-23.1203,-134.9692,74.53,84,100,13.56,moderate rain,2021-10-27 01:12:49
10,Mataura,NZ,-46.1927,168.8643,65.21,60,94,4.38,overcast clouds,2021-10-27 01:12:49
11,Nikolskoye,RU,59.7035,30.7861,44.87,94,100,8.61,overcast clouds,2021-10-27 01:12:50
12,Busselton,AU,-33.65,115.3333,53.04,82,100,12.55,overcast clouds,2021-10-27 01:12:50
13,Dikson,RU,73.5069,80.5464,12.74,87,100,9.31,overcast clouds,2021-10-27 01:12:50
14,Upernavik,GL,72.7868,-56.1549,16.75,46,97,2.3,overcast clouds,2021-10-27 01:12:51
15,Tuktoyaktuk,CA,69.4541,-133.0374,28.76,94,100,5.86,overcast clouds,2021-10-27 01:12:51
16,Ushuaia,AR,-54.8,-68.3,40.66,81,20,11.5,few clouds,2021-10-27 01:12:45
17,Carnarvon,AU,-24.8667,113.6333,66.87,54,99,12.93,overcast clouds,2021-10-27 01:12:52
18,Kodiak,US,57.79,-152.4072,39.27,52,90,16.11,overcast clouds,2021-10-27 01:09:06
19,Khani,GE,41.9563,42.9566,40.57,71,1,6.62,clear sky,2021-10-27 01:12:53
20,Albanel,CA,48.8832,-72.4487,39.42,70,100,6.73,overcast clouds,2021-10-27 01:12:53
21,Victoria,HK,22.2855,114.1577,80.26,78,98,3.0,overcast clouds,2021-10-27 01:12:53
22,Bredasdorp,ZA,-34.5322,20.0403,64.27,85,100,16.11,overcast clouds,2021-10-27 01:12:54
23,Bambous Virieux,MU,-20.3428,57.7575,72.21,67,40,13.98,scattered clouds,2021-10-27 01:12:54
24,Torbay,CA,47.6666,-52.7314,39.58,87,73,4.0,broken clouds,2021-10-27 01:12:55
25,Atuona,PF,-9.8,-139.0333,77.72,68,4,13.2,clear sky,2021-10-27 01:10:06
26,Dondo,MZ,-19.6094,34.7431,74.25,79,99,6.6,overcast clouds,2021-10-27 01:12:55
27,Jamestown,US,42.097,-79.2353,45.99,96,90,5.01,mist,2021-10-27 01:12:19
28,Saint-Francois,FR,46.4154,3.9054,40.48,100,90,2.3,mist,2021-10-27 01:12:56
29,Elat,IL,29.5581,34.9482,69.89,63,0,7.43,clear sky,2021-10-27 01:12:56
30,Tasiilaq,GL,65.6145,-37.6368,37.56,80,100,8.7,overcast clouds,2021-10-27 01:12:56
31,Chuy,UY,-33.6971,-53.4616,67.37,83,0,6.91,clear sky,2021-10-27 01:07:59
32,Bethel,US,41.3712,-73.414,58.57,92,90,1.99,moderate rain,2021-10-27 01:12:57
33,Aloleng,PH,16.1307,119.7824,82.99,68,62,5.88,broken clouds,2021-10-27 01:12:57
34,Port Lincoln,AU,-34.7333,135.8667,71.01,57,11,4.94,few clouds,2021-10-27 01:12:58
35,Airai,TL,-8.9266,125.4092,77.27,39,93,2.44,overcast clouds,2021-10-27 01:12:58
36,Alofi,NU,-19.0595,-169.9187,80.49,61,75,17.27,broken clouds,2021-10-27 01:12:59
37,Mandalgovi,MN,45.7625,106.2708,36.84,41,0,8.21,clear sky,2021-10-27 01:12:59
38,Sao Filipe,CV,14.8961,-24.4956,79.16,77,61,10.58,broken clouds,2021-10-27 01:12:59
39,Maarianhamina,AX,60.0973,19.9348,44.46,87,0,5.75,clear sky,2021-10-27 01:13:00
40,Qaanaaq,GL,77.484,-69.3632,19.67,94,100,13.44,light snow,2021-10-27 01:13:00
41,Pangkalanbuun,ID,-2.6833,111.6167,82.56,76,97,2.82,overcast clouds,2021-10-27 01:13:01
42,Butaritari,KI,3.0707,172.7902,82.67,74,14,10.42,few clouds,2021-10-27 01:13:01
43,Kapaa,US,22.0752,-159.319,84.18,68,1,3.0,clear sky,2021-10-27 01:13:02
44,Amuntai,ID,-2.4177,115.2494,84.74,72,48,1.77,scattered clouds,2021-10-27 01:13:02
45,Autazes,BR,-3.5797,-59.1306,75.45,95,90,1.19,overcast clouds,2021-10-27 01:13:02
46,Sechelt,CA,49.4664,-123.7694,54.01,84,11,10.38,few clouds,2021-10-27 01:13:03
47,Bengkulu,ID,-3.8004,102.2655,75.56,91,100,10.49,overcast clouds,2021-10-27 01:13:03
48,Hilo,US,19.7297,-155.09,80.33,74,20,8.05,few clouds,2021-10-27 01:10:57
49,Aswan,EG,24.0934,32.907,77.16,41,77,9.71,broken clouds,2021-10-27 01:13:04
50,Wadi Musa,JO,30.3222,35.4793,56.12,57,0,1.48,clear sky,2021-10-27 01:13:04
51,Funtua,NG,11.5233,7.3081,73.11,56,100,5.5,overcast clouds,2021-10-27 01:13:05
52,Paamiut,GL,61.994,-49.6678,37.27,56,0,8.46,clear sky,2021-10-27 01:13:05
53,Cape Town,ZA,-33.9258,18.4232,66.11,64,24,3.0,few clouds,2021-10-27 01:11:31
54,Lasa,IT,46.6166,10.7002,37.36,70,50,1.86,scattered clouds,2021-10-27 01:13:05
55,Chihuahua,MX,28.5,-106.0,77.83,29,0,37.29,clear sky,2021-10-27 01:10:23
56,Coffs Harbour,AU,-30.3,153.1333,79.12,64,40,17.27,scattered clouds,2021-10-27 01:13:06
57,Hermanus,ZA,-34.4187,19.2345,64.9,82,95,17.65,overcast clouds,2021-10-27 01:13:07
58,Urumqi,CN,43.801,87.6005,36.55,65,0,4.47,clear sky,2021-10-27 01:12:06
59,Kaitangata,NZ,-46.2817,169.8464,60.48,69,65,7.36,broken clouds,2021-10-27 01:13:07
60,Hobart,AU,-42.8794,147.3294,69.06,50,20,1.01,few clouds,2021-10-27 01:13:07
61,Campbell River,CA,50.0163,-125.2446,50.59,93,75,5.75,mist,2021-10-27 01:13:08
62,Khatanga,RU,71.9667,102.5,-5.78,100,98,1.88,overcast clouds,2021-10-27 01:13:08
63,Rorvik,NO,64.8621,11.2373,46.6,79,100,12.64,overcast clouds,2021-10-27 01:13:09
64,Yanam,IN,16.7333,82.2167,77.4,84,88,3.67,overcast clouds,2021-10-27 01:13:09
65,Fortuna,US,40.5982,-124.1573,57.54,73,90,1.01,light rain,2021-10-27 01:13:09
66,Biltine,TD,14.5333,20.9167,80.29,17,80,7.81,broken clouds,2021-10-27 01:08:52
67,Wum,CM,6.3833,10.0667,63.88,91,49,2.55,light rain,2021-10-27 01:13:10
68,Vanimo,PG,-2.6741,141.3028,84.43,71,96,8.63,overcast clouds,2021-10-27 01:13:10
69,Naze,JP,28.3667,129.4833,70.0,55,45,11.65,scattered clouds,2021-10-27 01:13:11
70,Cockburn Town,TC,21.4612,-71.1419,82.11,75,94,3.13,overcast clouds,2021-10-27 01:13:11
71,Chenghai,CN,23.4632,116.768,74.79,72,73,7.38,broken clouds,2021-10-27 01:13:12
72,Cagliliog,PH,13.9016,123.2913,81.57,82,88,11.16,overcast clouds,2021-10-27 01:13:12
73,Saskylakh,RU,71.9167,114.0833,1.24,97,100,2.08,overcast clouds,2021-10-27 01:13:13
74,Chumikan,RU,54.7183,135.315,36.64,98,100,2.91,light rain,2021-10-27 01:13:13
75,Karratha,AU,-20.7377,116.8463,80.15,22,0,8.66,clear sky,2021-10-27 01:13:13
76,Alice Springs,AU,-23.7,133.8833,94.55,20,19,25.32,few clouds,2021-10-27 01:13:14
77,Puerto Ayora,EC,-0.7393,-90.3518,68.56,92,95,3.0,overcast clouds,2021-10-27 01:11:27
78,Nouadhibou,MR,20.931,-17.0347,69.39,80,100,16.13,overcast clouds,2021-10-27 01:13:14
79,Phan Thiet,VN,10.9333,108.1,75.88,91,100,9.6,heavy intensity rain,2021-10-27 01:13:15
80,Luganville,VU,-15.5333,167.1667,83.98,72,39,9.35,scattered clouds,2021-10-27 01:13:15
81,Cherskiy,RU,68.75,161.3,-14.19,98,65,4.05,broken clouds,2021-10-27 01:13:16
82,Labuhan,ID,-6.8844,112.2051,84.51,68,100,7.11,overcast clouds,2021-10-27 01:13:16
83,Lebu,CL,-37.6167,-73.65,52.43,86,0,15.3,clear sky,2021-10-27 01:13:17
84,Beringovskiy,RU,63.05,179.3167,8.74,84,100,22.06,overcast clouds,2021-10-27 01:12:39
85,Ternate,ID,0.8,127.4,84.67,68,12,0.6,few clouds,2021-10-27 01:13:17
86,Ridgecrest,US,35.6225,-117.6709,64.26,30,1,1.01,clear sky,2021-10-27 01:13:18
87,Saint-Philippe,RE,-21.3585,55.7679,71.19,76,5,9.53,clear sky,2021-10-27 01:10:00
88,Leningradskiy,RU,69.3833,178.4167,9.23,92,100,22.55,light snow,2021-10-27 01:13:18
89,Coahuayana,MX,18.7333,-103.6833,81.88,88,99,1.07,overcast clouds,2021-10-27 01:10:49
90,Haysville,US,37.5645,-97.3523,69.58,77,75,13.0,broken clouds,2021-10-27 01:13:19
91,Viedma,AR,-40.8135,-62.9967,66.09,23,0,4.45,clear sky,2021-10-27 01:13:19
92,Barrow,US,71.2906,-156.7887,12.22,85,40,5.75,scattered clouds,2021-10-27 01:13:19
93,Havoysund,NO,70.9963,24.6622,32.88,60,94,28.05,overcast clouds,2021-10-27 01:13:20
94,Mahon,ES,39.8885,4.2658,63.16,72,40,11.5,scattered clouds,2021-10-27 01:13:20
95,Broome,US,42.2506,-75.833,55.85,80,90,1.01,light rain,2021-10-27 01:10:22
96,San Patricio,US,28.017,-97.5169,81.84,79,96,15.28,overcast clouds,2021-10-27 01:12:06
97,Wattegama,LK,6.7989,81.4808,74.93,89,80,1.45,broken clouds,2021-10-27 01:13:21
98,Port Elizabeth,ZA,-33.918,25.5701,67.1,85,95,22.28,overcast clouds,2021-10-27 01:13:22
99,Mangai,CD,-4.05,19.5333,68.58,99,100,1.07,light rain,2021-10-27 01:13:22
100,Atasu,KZ,48.6814,71.6433,36.18,87,100,13.18,overcast clouds,2021-10-27 01:13:22
101,Provideniya,RU,64.3833,-173.3,19.51,68,90,8.95,light snow,2021-10-27 01:13:23
102,Vaini,TO,-21.2,-175.2,78.96,78,20,14.97,few clouds,2021-10-27 01:11:48
103,Kaeo,NZ,-35.1,173.7833,67.28,65,100,6.22,overcast clouds,2021-10-27 01:10:03
104,Gigmoto,PH,13.7796,124.39,81.72,82,100,10.92,overcast clouds,2021-10-27 01:13:23
105,Oriximina,BR,-1.7656,-55.8661,79.59,74,64,2.46,broken clouds,2021-10-27 01:13:24
106,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,86,36,13.91,scattered clouds,2021-10-27 01:13:24
107,East London,ZA,-33.0153,27.9116,67.24,85,100,20.71,light rain,2021-10-27 01:11:21
108,Dudinka,RU,69.4058,86.1778,13.32,94,100,8.23,overcast clouds,2021-10-27 01:13:25
109,Kloulklubed,PW,7.0419,134.2556,86.5,72,52,8.63,broken clouds,2021-10-27 01:13:25
110,Hithadhoo,MV,-0.6,73.0833,83.75,69,100,15.35,overcast clouds,2021-10-27 01:13:25
111,Welkom,ZA,-27.9864,26.7066,57.34,76,98,10.07,overcast clouds,2021-10-27 01:13:26
112,Kavieng,PG,-2.5744,150.7967,85.42,65,96,3.74,overcast clouds,2021-10-27 01:13:26
113,Lerwick,GB,60.1545,-1.1494,53.6,90,100,21.72,overcast clouds,2021-10-27 01:13:27
114,Pochutla,MX,15.7432,-96.4661,81.82,87,100,5.03,overcast clouds,2021-10-27 01:13:27
115,Ulladulla,AU,-35.35,150.4667,76.77,46,5,7.56,clear sky,2021-10-27 01:13:28
116,Tabou,CI,4.423,-7.3528,76.77,89,100,5.61,overcast clouds,2021-10-27 01:13:28
117,Mabaruma,GY,8.2,-59.7833,73.72,99,100,3.06,overcast clouds,2021-10-27 01:13:28
118,Pisco,PE,-13.7,-76.2167,61.02,82,0,11.5,clear sky,2021-10-27 01:13:29
119,Avarua,CK,-21.2078,-159.775,78.85,65,40,13.8,scattered clouds,2021-10-27 01:13:29
120,San Quintin,MX,30.4833,-115.95,63.01,70,0,18.75,clear sky,2021-10-27 01:13:30
121,Longyearbyen,SJ,78.2186,15.6401,17.44,67,75,9.22,broken clouds,2021-10-27 01:13:30
122,Krasnoselkup,RU,65.7,82.4667,19.35,95,100,14.85,light snow,2021-10-27 01:09:52
123,Tiksi,RU,71.6872,128.8694,13.37,95,100,2.51,overcast clouds,2021-10-27 01:13:31
124,Socorro,US,31.6546,-106.3033,71.46,20,20,21.85,dust,2021-10-27 01:09:27
125,Ceyhan,TR,37.0247,35.8175,60.64,35,8,4.68,clear sky,2021-10-27 01:13:31
126,Salalah,OM,17.0151,54.0924,71.69,56,0,4.61,clear sky,2021-10-27 01:13:32
127,Ostersund,SE,63.1792,14.6357,37.85,81,100,10.36,overcast clouds,2021-10-27 01:13:32
128,Okhotsk,RU,59.3833,143.3,25.36,82,100,5.32,overcast clouds,2021-10-27 01:13:32
129,Touros,BR,-5.1989,-35.4608,76.1,74,26,14.9,scattered clouds,2021-10-27 01:13:33
130,Hambantota,LK,6.1241,81.1185,77.77,78,97,5.35,overcast clouds,2021-10-27 01:13:33
131,Norman Wells,CA,65.282,-126.8329,26.55,96,100,4.27,light snow,2021-10-27 01:13:33
132,San Luis,AR,-33.295,-66.3356,78.19,11,0,11.05,clear sky,2021-10-27 01:13:13
133,Arraial Do Cabo,BR,-22.9661,-42.0278,71.83,96,100,8.32,overcast clouds,2021-10-27 01:13:34
134,Port Blair,IN,11.6667,92.75,82.04,78,83,7.34,broken clouds,2021-10-27 01:11:37
135,Gornet,RO,45.1167,26.0667,39.09,84,0,3.49,clear sky,2021-10-27 01:13:35
136,Orissaare,EE,58.5592,23.0826,48.15,87,27,15.5,scattered clouds,2021-10-27 01:13:35
137,Lokosovo,RU,61.1333,74.8167,22.96,82,95,15.32,overcast clouds,2021-10-27 01:13:36
138,Port-Gentil,GA,-0.7193,8.7815,77.61,88,100,12.73,light rain,2021-10-27 01:13:36
139,Murzzuschlag,AT,47.6,15.6833,40.75,92,73,3.36,broken clouds,2021-10-27 01:13:37
140,Nantucket,US,41.2835,-70.0995,59.14,93,100,42.88,moderate rain,2021-10-27 01:13:37
141,Bam,IR,29.106,58.357,61.99,23,0,1.88,clear sky,2021-10-27 01:13:38
142,Ponta Do Sol,PT,32.6667,-17.1,68.72,62,6,3.8,clear sky,2021-10-27 01:13:38
143,Geraldton,AU,-28.7667,114.6,61.21,82,40,14.97,light intensity shower rain,2021-10-27 01:13:38
144,Saskatoon,CA,52.1168,-106.6345,45.16,81,100,5.01,overcast clouds,2021-10-27 01:10:00
145,Kinablangan,PH,7.6947,126.5503,84.06,70,100,3.11,overcast clouds,2021-10-27 01:13:39
146,Nadym,RU,65.5333,72.5167,16.59,94,81,9.6,broken clouds,2021-10-27 01:13:39
147,Nueva Loja,EC,0.0847,-76.8828,69.42,99,100,0.87,moderate rain,2021-10-27 01:13:40
148,Vardo,NO,70.3705,31.1107,35.19,57,100,23.82,light snow,2021-10-27 01:13:40
149,Tierralta,CO,8.1736,-76.0592,76.32,93,100,7.74,light rain,2021-10-27 01:13:40
150,Batsfjord,NO,70.6345,29.7185,31.71,67,100,18.41,overcast clouds,2021-10-27 01:13:41
151,Raudeberg,NO,61.9875,5.1352,50.86,86,100,13.0,moderate rain,2021-10-27 01:13:41
152,Xuddur,SO,4.1213,43.8894,72.1,80,5,10.58,clear sky,2021-10-27 01:13:42
153,Hamilton,US,39.1834,-84.5333,48.97,81,1,0.0,clear sky,2021-10-27 01:13:42
154,Oranjemund,NA,-28.55,16.4333,58.75,93,47,4.63,scattered clouds,2021-10-27 01:13:42
155,Millau,FR,44.0833,2.9167,43.0,92,5,3.15,clear sky,2021-10-27 01:13:43
156,Rumboci,BA,43.8322,17.5011,36.41,92,100,4.47,overcast clouds,2021-10-27 01:13:43
157,Pevek,RU,69.7008,170.3133,10.89,93,100,13.18,overcast clouds,2021-10-27 01:13:44
158,Kruisfontein,ZA,-34.0033,24.7314,64.89,83,97,17.31,overcast clouds,2021-10-27 01:13:44
159,Westport,US,41.1415,-73.3579,60.84,95,90,1.99,moderate rain,2021-10-27 01:13:45
160,Shimoda,JP,34.6667,138.95,62.1,73,94,1.72,overcast clouds,2021-10-27 01:09:53
161,Mar Del Plata,AR,-38.0023,-57.5575,55.42,76,0,0.0,clear sky,2021-10-27 01:09:23
162,Riyadh,SA,24.6877,46.7219,73.54,25,0,9.6,clear sky,2021-10-27 01:13:02
163,La Romana,DO,18.4273,-68.9728,82.13,94,20,0.0,few clouds,2021-10-27 01:13:46
164,Port Macquarie,AU,-31.4333,152.9167,76.89,54,5,12.41,clear sky,2021-10-27 01:13:46
165,Abha,SA,18.2164,42.5053,55.65,72,0,0.0,clear sky,2021-10-27 01:13:29
166,Shitanjing,CN,39.2342,106.3439,43.32,58,97,2.44,overcast clouds,2021-10-27 01:13:46
